C000 JMP A:00 X:00 Y:00 P:24 SP:FD
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:F1
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:E9
3B08 BRK A:B1 X:B1 Y:E4 P:A5 SP:E6
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:DB
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:D3
3902 NOP A:B1 X:B1 Y:E4 P:A5 SP:D0
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:C5
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:BD
36FC BRK A:B1 X:B1 Y:E4 P:A5 SP:BA
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:AF
 2CB BRK A:B1 X:B1 Y:E4 P:A5 SP:AA
34F6 BRK A:B1 X:B1 Y:E4 P:A5 SP:A4
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:99
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:93
32F0 BRK A:B1 X:B1 Y:E4 P:A5 SP:8E
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:83
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:7D
30EA NOP A:B1 X:B1 Y:E4 P:A5 SP:78
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:6D
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:67
2EE4 BRK A:B1 X:B1 Y:E4 P:A5 SP:62
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:57
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:51
2CDE BRK A:B1 X:B1 Y:E4 P:A5 SP:4C
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:41
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:3B
2AD8 BRK A:B1 X:B1 Y:E4 P:A5 SP:36
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:2D
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:25
28D2 NOP A:B1 X:B1 Y:E4 P:A5 SP:20
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:17
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:0F
26CC BRK A:B1 X:B1 Y:E4 P:A5 SP:0A
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:01
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:F9
24C6 BRK A:B1 X:B1 Y:E4 P:A5 SP:F4
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:EB
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:E3
22C0 BRK A:B1 X:B1 Y:E4 P:A5 SP:DE
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:D5
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:CD
20BA NOP A:B1 X:B1 Y:E4 P:A5 SP:C8
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:BF
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:B7
3E8A NOP A:B1 X:B1 Y:E4 P:A5 SP:B4
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:A9
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:A1
3C84 BRK A:B1 X:B1 Y:E4 P:A5 SP:9E
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:93
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:8B
3A7E BRK A:B1 X:B1 Y:E4 P:A5 SP:88
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:7D
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:75
3878 BRK A:B1 X:B1 Y:E4 P:A5 SP:72
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:67
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:5F
3672 NOP A:B1 X:B1 Y:E4 P:A5 SP:5C
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:51
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:4B
346C BRK A:B1 X:B1 Y:E4 P:A5 SP:46
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:3B
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:35
3266 BRK A:B1 X:B1 Y:E4 P:A5 SP:30
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:25
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:1F
3060 BRK A:B1 X:B1 Y:E4 P:A5 SP:1A
C5F4 RTI A:B1 X:B1 Y:E4 P:A5 SP:0F
